Review
"Menurut saya gamenya sudah bagus, lebih bagus dari yg dlu malah, tetapi kekurangannya pada saat sedang main, gamenya suka patah2 dan ngefreeze hampir 1-3 detik, padahal memory hp saya masih banyak yg tersisa dan juga ram 13, semoga dibaca dan diperbaiki, saya akan memberi bintang 5 jika sudah diperbaiki, terimakasih🙏"
"Semuanya berjalan lancar seperti biasa,tapi,kali ini masih ada beberapa kekurangan dari minecraft 1.21,yaitu nge-freeze/frame saat ada ledakan TNT atau menghancurkan block dan terkadang skin tidak terlihat saat offline.mohon di perbaiki dan tetap semangat meng-update minecraft versi Selanjutnya."
"tolong lah mojang, makin di update ngecrash atau ngefreezenya makin sering, ya walaupun ngefreezenya cuma sebentar. tapi itu ngeganggu banget waktu lagi build atau lagi dikejar kejar mob . dan untuk update an selanjutnya, tolong juga di fix off hand / tangan kirinya, karena dari awal rilis mcpe atau bedrock belom bisa menggunakan blocks atau yang lain selain sheild, fireworks, map dan item yang dapat di drop dari drowned (lupa namanya). ini juga dapat mempengaruhi perlambatan dalam ngebuild."
"Tolong dong mojang, banyak bug yang perlu diperbaiki kadang suka lag tiba-tiba padahal jaringan koneksi saya lancar minecraft saya nge freeze diem gitu jadi gaenak banget setiap saat begitu bagaimana mau bermain?? jadi suka mati gara gara diem gitu loading nya lama banget makanya tiba tiba ""you died"" Itu nyesek banget mati bukan ceroboh melainkan minecraft yang banyak bug:((("
"Akhirnya nya game yang dulu kepengen buat main sekarang udh bisa, dulu cuma bisa main Minecraft bajakan buat ngisi waktu gabut,sekarang udh kebeli,tetapi masih ada bug yang menggangu,mungkin bug ada juga frame drop dll tetapi di World Minecraft sy ada bug armor entah kenapa bisa terjadi saya sudah download ulang Minecraft nya tetapi masih ada bug armor tersebut itu juga buat sy ke ganggu karena tampilan armor nya berubah, saat enchant armor pun berubah jadi kotak polos tidak seperti sebelum enc"
"Secara keseluruhan game ini sudah bagus dari segi gameplay,untuk grafis bisa diakali dengan adanya mod,saran untuk developer agar mengoptimalkan lagi game ini,terkadang saya selalu freeze ketika sedang bermain,itu menganggu sekali ketika sedang berperang,sudah disetting pun tetap saja terjadi,saran saya agar menambahkan settingan untuk menurunkan grafis agar sesuai dgn performa, terimakasih"
"Sebenarnya, perangkat saya sudah cukup kuat untuk game ini dan bisa selalu di 60-55 FPS. Namun, pada saat saya sedang tidak melakukan hal-hal ekstrim masih bisa frame drop mendadak (sekitar sepersekian detik). Ini sangat menganggu saat saya melakukan penjelajahan (Survival). Perbaiki ini segera sebelum semua Player kehilangan kesabarannya karena hal sekecil ini. Terima kasih."
Dari dulu saya memainkan minecraft crack dan sekarang saya bisa membeli minecraft asli dengan diskon ulang tahun Minecraft yang ke 15 tahun nya. Tapi sayang sekali ada beberapa bug peforma yang mengganggu saya main sehingga dapat menyebabkan force close secara tiba tiba dan bug fps yang sering menurun secara tiba tiba Bug ini disebabkan karena grafik indah (fancy graphic) yang dinyalakan. Saya harap saya bisa bermain Minecraft seperti dulu lagi bermain tanpa lag dan masalah seperti itu lagi
"Game ini sangat bagus, game yang bisa mengimpor addon, mod, map, dan lain²nya, gamenya sangat bagus kita bisa Mabar dengan teman, dan kita bisa beli addon atau mod yang berguna, tapi ad yg kurang kalau mcpe bisa diganggu dengan kartu tri yang paling ku benci karena tombolnya ke restart sendiri tolong dong diperbaiki"
"tolong lah mojang game udah bagus, tapi tolong fix bug Tombol reset sendiri ketika bermain, apalagi ketika bermain skywars. sangat menggangu ketika sedang perang mendadak reset otomatis gara gara game nya freezze/patah"
"Gamenya seru, tapi ada bug freezer selalu patah patah tolong diperbaiki, mumasuk log-in akun selalu gagal padahal udah benar, pas mumbuat email,sandi,kode,nomer, udah benar' eh ada tulisan"" Coba metode verifikasi lain? ini gimana saya sudah cari cari solusi tapi gak ketemu tolonglah mojang."
"game nya suka ngefreeze/patah"" sendiri, padahal fps ga drop+penyimpanan masih free banyak sekali masi 60gb an mohon mojang segera di perbaiki agar tidak ngefreeze/patah"" sendiri, karna ini sangat amat mengganggu gameplay di minecraft, 1 lagi kenapa world saya tiba"" hilang dengan sendiri nya? padahal udah banyak progres di dalam world itu saya sngat kecewa karna 2 masalah yan saya alami, untuk saat ini saya bintang 2 dahulu, semoga segera diperbaiki mojang 🙏🏻"
"Saya ingin komplein mengenai kendala yang saya alami. Kenapa semenjak update 1.20 sampe yang terbaru sering ada kendala lag dan freeze 1-8 detik ,padahal ram saya gede dan penyimpanan aman. mohon update kedepannya mojang agar bisa menghilangkan lag freeze 1-8 detik , saya akan berikan bintang 5 jika sudah di fiks. Terimakasih"
"Actually Minecraft tuh game yang tidak akan pernah hilang dari peradaban dan tidak akan mengecewakan siapapun, namun satu hal yang paling mengecewakan adalah sistem networking-nya yang di mana setiap ingin mengganti dan mengkonsumsi skin harus terhubung ke internet padahal dulu tidak dan juga sistem networking pada mode multiplayer sangatlah amat rusak walaupun Minecraft Bedrock Edition itu Cross-platform seperti pemain yang berbeda perangkat dan jenis jaringan benar-benar lama untuk terhubung."
"Game ini sangat bagus dimulai dari gameplay yg simpel namun banyak hal hal yg tak terduga namun semakin kesini kok updatenya makin nyeleneh contohnya kontrol di mcpe, kenapa harus di ubah bukan kah lebih bagus yang dulu saja kenapa harus di ubah? Terus tolong banget nih mojang banyak bgt bug yg harus di perbaiki udah sekian terimakasih semoga membantu"
"Untuk game nya bagus, Agak sedikit diperbaiki aja untuk performa minecraft nya, karena semenjak update 1.20+ itu performa nya buruk banget, ngelag patah patah 1 detik sampai 2 detik gitu Tolong di fix mojanggg! Tolong mojang game nya di optimalkan lagi performa nya, agar saya tidak menyesal membeli game ini"
"Gamenya bagus, cocok buat mengembangkan kreatifitas, tapi sayangnya saat main selalu saja terjadi lag dan patah"" padahal hp saya ram 4 dan internal masih banyak, kadang juga aplikasi Minecraft tiba tiba crash jika ini adalah bug mohon segera difix, atau hanya hp saya saja yang kurang bersahabat dengan game satu ini🙏"
"Udah keren untuk berapa fiturnya, cuma pas main kadang ada ngefreezenya gitu sesaat, entah bug atau apa kurang tau, terus untuk render dragon juga lumayan dalam pengalaman bermain udah gak terlalu berat kayak dulu, cuma ya minusnya gak bisa pake shaders. Semoga mojang bisa mengubah kebijakan menggunakan shaders(pihak ketiga) di render dragon, Tetap semangat Mojang team."
"Gamenya sangat seru sekali. Game nya mengajarkan untuk bertahan hidup dengan bahan bahan di sekitar. Terus menggunakan ke kreatifan kita sebagai player untuk membangun struktur atau mesin redstone yang luar biasa. Namun sayangnya, world di Minecraft jadi gampang hilang. Disaat aku tidak sengaja menekan ""pembersih"" di hp ku, world nya bakal langsung hilang:(. Kumohon mojang PLEASE NOTICE THIS. I'm tired of building the world from scratch But instead it just disappeared TwT"
"Aku suka banget sama game ini tapi ada beberapa bug disini yang mengganggu yang menghalangi kita untuk main itu adalah bug ""license error"" yang mengharuskan saya login ulang lagi secara online dan bug itu terjadi setelah saya sering main offline tolong untuk mojang diperbaiki ya soalnya mengganggu kenyamanan player 🙏"
"Huh... baru main lagi setelah sekian lama. Last 2016 saya main dah baru download lagi karena baru keinget kotak kotak, rupanya sekarang sudah banyak update Tapi sayangnya sudah gabisa main multiplayer LAN lagi padahal dulu bisa tanpa harus online 😓 atau ada tutorialnya tolong developer kasih tau caranya biar bisa main multiplayer LAN hotspot lagi..."
"Terimakasih Banyak Mojang Studio. Atas diskon besar-besaran, dari diskon tersebut saya bisa bermain Minecraft secara ORI dan bukan Minecraft Bajakan lagi, Saya sangat bahagia dan senang, tapi ada bug yang sering sekali terjadi ketika bermain, seperti bug cras ketika sedang melawan mob jahat dan darah tinggal 3, tiba-tiba cras dan player mati, saya mohon bantuannya agar bug tersebut dihilangkan"
"Gameplay yang menarik, update nya makin keren namun cuman 1 yang kurang yaitu bug customized. Jadi saat sudah customized ketika naik mount atau kuda dll, settingan nya ke reset sendiri."
"Untuk beberapa aspek, game ini sudah bisa dibilang baik dan tidak mengecewakan untuk game berbayar, namun di beberapa perangkat android, terkadang game ini mengalami bug/laju game yg kurang optimal, terkadang dalam permainan akan mengalami freeze 1-2 detik dan itu sangat menggangu bagi saya, bisa dibilang game ini belum sepenuhnya optimal walau sudah versi non beta, saya menggunakan device yang mumpuni bahkan bisa menjalankan beberapa game yang membutuhkan spesifikasi tinggi dengan lancar, Ty."
"Tolong mojang, saya tidak bisa install minecraft saat minecraft sudah 100% tiba² ada pemberitahuan bahwa file minecraft lama saya masih ada sehingga saya harus menghapus file lamanya, akan tetapi di hp saya tidak ada. Mohon mojang masalah lokasi penyimpanan datanya dipermudah sehingga kejadian seperti saya bisa teratasi dengan mudah"
"Aku menyukai game Minecraft, tapi ada 1 bug yg sangat mengganggu yaitu bug suka nge freeze 3-5 detik dan itu sangat mengganggu jadi tolong segera diperbaiki dengan baik demi kenyamanan player bermain. Maaf saya kasih bintang 3 karena bug itu. Sekian Terima Kasih"
Tolong aplikasi ini di optimalkan. Terkendala saat bermain. Saat bermain terjadi sering sekali terhenti sebentar kemudian lanjut lagi saat bermain klo gak gitu terkeluar dari aplikasinya. Kemudian. Ketika mau ekspor add-on sebagian failed/ atau tidak berhasil. Tolong di perbaiki
"tolong fix bug loading ke nether,loading lama sedangkan di systemnya karakter sudah masuk ke nether,loading belum selesai tapi sudah terkena demeg dari mob di nether,tolong fix bugnya,dan fix bug crash saat saya bermain tiba tiba crash tanpa sebab dan itu menganggu kenyamanan bermain,sebelum nya tidak pernah crash tiba tiba seperti ini,tolong fix bug ini juga"
"Tolong untuk pihak mojang benerin bug fps, entah kenapa ketika main sedikit freeze saat merender. Itu membuat saya sangat tidak enak bermain, padahal versi 1.18 dulu lancar saja. Tolong dibenerin bag yang tidak mengenakan seperti itu"
"Bug nya makin lama makin ngeselin, mana ga di fix lagi. Contoh bug nya tuh kaya layar freeze setiap beberapa menit, ketika main di server tiba tiba force close, lalu sensitivitas sering geter geter gatau kenapa. DAN AYOLAH MOJANG TOLONG KASI SUPPORT RENDER DRAGON AGAR KITA BISA PASANG SHADER :((("
"Mojang are you okay ? Aku cuma mau bilang tolong perbaiki bug seperti layar freze dan patah"" saat bermain ini game, bukan cuma aku doang yg ngeluh tapi orang-orang juga pada ngeluh padahal hp bagus sinyal bagus Dan sat bermain game berat pun gak masalah akan tetapi ketika aku bermain Minecraft selalu saja lag, patah-patah, layar nge freze mungkin cuma itu aja saran dari ku mohon segera di perbaiki 🗿☝️"
maaf mojang saya kasih bintang 1 Krn masih ada bug di dlm Minecraft sy tpi di teman² sy tidak ada bug sama sekali 1.suka nge frame padahal main game lain contoh ML COD sama PUBG rata kanan masih aman aman aja 2. barang barang suka ilang padahal ga mati 3.masuk nether delay sekali nya delay langsung di hit mob giliran pas mati langsung masuk nether 4.pas Mabar kadang ga bisa nge invite ga masuk undangan ny 5.kadang suka force close padahal hp ram 8 udah itu saja semoga di perbaiki ya mojang
"Kabar baiknya semua update memiliki keindahan dan tantangan masing masing yang bagus sekali.👍🏻 Tapi,kabar buruknya saya mengalami bug dimana tombol tidak bisa diatur ukurannya dan saya mohon kembalikan tombol Minecraft yang lama itu soalnya itu udah mendarah daging di saya,susah beradaptasi dengan tombol sekarang bagi saya 🙏🏻"
"Saya suka dengan game ini, tapi ada 1 keluhan saya sebagai pemain pockt edition, yaitu gamenya yang berbeda dengan Minecraft versi java, dari bridgenya, rumput nya yang terlalu banyak di java dan saya sangat menyukainya karena mudah mencari bibit untuk ditanam, dan tombol ""c"" di minecraft bedrock tidak bisa untuk zoom, dan dari segi ui menurut saya lebih bagus Minecraft java, jafi tolong disamakan kedua game tersebut atau dijadikan satu saja yaitu minecraft java edition"
"game nya seru, meningkatkan kreativitas kita dan mengasah otak terlebih kalo main lewat survival, dan sejauh ini cuma 1 kendalanya yaitu agak lemot, terlebih saat menghancurkan blok itu dia agak memakan waktu dan terkadang bug, saya gak tau salah yang mana tapi saya udah cek perangkat saya gak ada yang kurang, soalnya untuk main genshin impact bisa, mungkin itu aja saran dari saya, tapi ini game udah cukup bagus kok untuk di mainkan dan cukup di worth it menurut saya, thank you for reading.."
Untuk mojang terimakasih karena udah beri diskon sampai 19k dan gamenya bagus tapi ada satu masalah menurutku kenapa kalo kita pakai armor lalu diberi enchant kok armornya menjadi burik dan panah kalo diberi enchant tiba tiba hilang tolong diperbaiki terimakasih
"Sangat luar biasa seru dan bagus hanya saja ukuran minecraft nya tolong agak turunin sedikit banyak juga gak papa😁🤭, dan tolong suportkanbhp hp kentang ya kalo hp saya sihsuport support aja tapi kadang ada Frame kadang kadang ,segitu aja sih terimakasih"
Gamenya sih bagus tapi untuk developer tolong hilangkan bug nge freeze 1-3 detik karena menurut saya itu sangat mengganggu apalagi saat bermain mode survival jadi untuk developer tolong fix bugnya...
"Game yang setiap gw punya hp baru langsung gw download Dan saya menemukan bug di perangkat saya dimana armor yang sudah di enchant menjadi rusak teksturnya bisa kah anda memperbaiki ini. Dan juga tolong untuk membuat health regen seperti di java,karena di java lebih cepat,saya sering mati karena regen nya terlalu lambat"
"Habis update kok malah jadi rusak ini game,ngelag patah gak jelas asalnya. Setiap beberapa gerakan patah fpsnya drop ke 0 gak jalan,bukan drop lagi kalau sampai ngelag kyk gini,memang gamenya rusak. Padahal sebelumnya normal,hp juga aman buat main game lain. Disetting grafisnya model apapun juga tetap sama kayak gitu. Sudah aku coba pakai hp yang lain juga sama masalahnya. Berarti ada yang salah sama gamenya. Edit: udah di update tetap sama saja,ngefreeze gajelas. Malas sekali developer game ini"
"Tolong atasi bug freeze/lag secara tiba-tiba, padahal saya sudah menurunkan grafik ataupun chunks tapi tetap saja masi ada ngefreze, tolong diperbaiki itu sangat mengganggu permainan menjadi tidak nyaman."
"Game nya udh bagus,tapi masih ada byk masalah seperti ping yg jelek, padahal ping saya bagus,dan masalah paling meresahkan menurut saya ada pad masalah login nya,saat login sudah bagian verivikasi, verifikasi telah selesai verifikasi nya muncul lagi ber ulang ulang tanpa henti,tolong segera perbaiki,bug login ini sudah lama"
"Overall bagus tapi, ada beberapa kekurangan yaitu : 1. Tidak bisa pasang shader (untuk versi Sekarang) 2. Tidak bisa pasang mod 3. Banyak fitur & skin berbayar Mungkin ini kekurangan bagi aku aja sih, kalo kalian mau main seperti biasa ini udah bagus"
"gamenya sangatttttt bagus, dari pas aku kecil gak pernah berubah nih game tetep seru buat di mainkan, sama satu lagi, tolong developer fix bug patah patahnya soalnya itu sangat mengganggu saat bermain survival, dan tolong di update selanjutnya agar bisa memasang shader dengan mudah seperti versi mc yang dulu lagi"
"Gamenya sederhana (radak kompleks kalo redstone/command), tapi dari segi gameplay sudah baguss, tapi bugnya tetap ada, kalau bisa pasang shader langsung, gak ush ribet (itu aja masukan saya) Terimakasih [Edit: Mojang pliss perbaiki bugnya sekarang, karena saat saya dimode creative memakai control baru kenapa saat hancurin block gak 1 klik doang, terus ada bug saya membuat sistem clone lalu saya buka chestnya malah chestnya ketutup sendiri:(]"
"Saya sangat senang bermain minecraft tapi ada hal yang harus bener di perbaiki yaitu -Optimalisasi pada perangkat dengan processor kencang namun ram kecil seperti helio g99 di ram 4gb, frame nya dari 90 kadang turun ke 40 beberapa detik karena kekurangan ram -tidak ada shader, kami butuh shader untuk mempercantik grafik minecraft Yaudah sih itu aja"
"Udh bagus dan bug nya juga berkurang, ada beberapa bug yang masih ada contoh nya udh tidur di dalam rumah pas mati malah spawn di luar, tiba tiba nge lag, terus makan banyak penyimpanan banget bahkan saat update juga tambah makan penyimpanan jadi tolong kurangi ukuran apk nya atau ukuran update nya thx"
"Aku suka game ini mungkin terkesan simple karena kotak kotak namun menurutku game ini menawarkan sesuatu yang menarik dengan segala block menarik untuk mode creative serta item mob dan tantangan di mode survival. Dan satu lagi, mainkanlah Minecraft Original"
"Oke banget sih menurutku, secara game ini itu menurutku seru, karena lagi diskon aku cepet"" beli. Untungnya setelah nyoba aku bener"" suka sama game ini. Cuman ada sedikit masalah, jadi walau sinyalku oke oke aja ( ga buruk dan ga bagus ) namun saat ingin join multiplayer sangat sulit, belum lagi terkadang gagal untuk masuk. Jadi kedepannya saya harap hal seperti ini bisa diperbaiki. Overall semuanya oke, cuma tadi itu sih masalahnya. Terima Kasih.."
